Module,lut-synth,Yosys 0.33
ghij_flat,9097 (-24.19%),11999
fghi_flat,4910 (-13.11%),5651
abcd_flat,3476 (-11.17%),3913
hijkl_flat,2560 (-11.63%),2897
efghi_flat,2506 (-12.56%),2866
pqr_flat,2327 (-9.84%),2581
efg_flat,1802 (-10.66%),2017
ghijk_flat,1773 (-6.09%),1888
cde_flat,1178 (-38.10%),1903
stu_flat,1105 (-14.34%),1290
ghi_flat,820 (-59.02%),2001
bcdef_flat,794 (-13.98%),923
jkl_flat,678 (-10.08%),754
pqrst_flat,576 (-11.93%),654
fghij_flat,550 (-5.98%),585
xyz_flat,481 (-9.59%),532
opqr_flat,470 (-2.69%),483
lmnop_flat,429 (-7.94%),466
mnop_flat,386 (-1.78%),393
dma_ahbmux_flat,377 (-4.56%),395
opqrs_flat,353 (-9.95%),392
dma_engine_flat,322 (-12.97%),370
opq_flat,313 (-9.54%),346
abcde_flat,268 (-10.37%),299
dma_ahbmst_flat,266 (-8.28%),290
nopq_flat,250 (-3.85%),260
qrstu_flat,232 (-4.92%),244
tuvw_flat,219 (-8.75%),240
rst_flat,217 (-3.98%),226
vwxy_flat,186 (-10.14%),207
stuvw_flat,183 (-5.18%),193
abc_flat,173 (-18.40%),212
bcdefg_flat,149 (-1.32%),151
dma_chrf_flat,143 (-16.86%),172
rstu_flat,143 (-13.33%),165
pqrs_flat,129 (-29.51%),183
fgh_flat,112 (-15.15%),132
efgh_flat,104 (-38.10%),168
abcdef_flat,102 (-1.92%),104
uvw_flat,77 (-8.33%),84
hijklm_flat,66 (-1.49%),67
lmno_flat,61 (-17.57%),74
mnopq_flat,58 (-1.69%),59
defg_flat,56 (-3.45%),58
cdef_flat,55 (-3.51%),57
ghijkl_flat,49 (-7.55%),53
ijkl_flat,48 (-22.58%),62
wxyz_flat,46 (-2.13%),47
ijklm_flat,44 (-4.35%),46
ijk_flat,43 (-51.14%),88
defgh_flat,35 (-35.19%),54
cdefg_flat,33 (-43.10%),58
jklmno_flat,27 (-59.09%),66
vwx_flat,24 (-14.29%),28
klmn_flat,13 (-7.14%),14
bcd_flat,5 (-37.50%),8
qrst_flat,2 (-50.00%),4
